Model,Trial Number,Value,Mean Train Score,Mean Test Score,Train Std,Test Std,Overfitting Risk,p_value,logit_penalty,logit_c,logit_solver,logit_max_iter
logit,27,0.6932890453998184,0.8492533638845554,0.8343505477308295,0.006865033339472266,0.04702050077700371,Low,0.3704,l2,16.132473660883182,saga,392
logit,28,0.6778922042762382,0.8470680577223089,0.834370109546166,0.005954674004968583,0.05215930175664258,Low,0.4861,l1,1.371100338676686,saga,264
logit,29,0.6952646253707851,0.8483165951638065,0.8315336463223787,0.007171072739038731,0.04542300698386451,Low,0.3007,l2,284.01559772984564,liblinear,238
logit,30,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007680843451857985,0.04542300698386451,Low,0.2971,l1,230.90346318288024,saga,379
logit,31,0.6013053113851908,0.8016553724648986,0.7964006259780908,0.006993387495915727,0.06503177153096666,Low,0.8148,l1,0.04292247689402309,saga,432
logit,32,0.6888640766212142,0.8490968701248051,0.8315336463223787,0.006938893094709342,0.047556523233721504,Low,0.3003,l2,377.15954654821127,saga,144
logit,33,0.6791416416714235,0.8489413514040562,0.8329616588419405,0.0063308245126204084,0.05127333905683901,Low,0.377,l2,1.645385013926934,saga,402
logit,34,0.6888640766212142,0.8487848576443058,0.8315336463223787,0.007259175618759462,0.047556523233721504,Low,0.3088,l2,251.2449107195977,saga,185
logit,35,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0015388665888598624,saga,249
logit,36,0.6952646253707851,0.8483165951638065,0.8315336463223787,0.007404836041948475,0.04542300698386451,Low,0.301,l2,139.1185718596393,liblinear,252
logit,37,0.4537114970100241,0.6359248244929797,0.633528951486698,0.0038528826534860944,0.05993915149222461,Low,0.9074,l2,0.0011108541796124576,liblinear,256
logit,38,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007455738967560155,0.04542300698386451,Low,0.2968,l2,933.3288635118734,liblinear,307
logit,39,0.513479113719579,0.709584389625585,0.7066901408450705,0.006017603548993648,0.06440367570849717,Low,0.8961,l2,0.003390871995380011,liblinear,139
logit,40,0.687286522439359,0.8495653763650546,0.832942097026604,0.006936703732920072,0.048551858195748344,Low,0.3348,l2,10.265837216999563,liblinear,432
logit,41,0.6682929257321444,0.8417616517160689,0.8273474178403756,0.005975857860666345,0.05301816403607706,Low,0.4381,l2,0.79791466694677,liblinear,347
logit,42,0.683154864981304,0.8375487519500779,0.8301447574334899,0.007121416806720659,0.04899663081739533,Low,0.6639,l1,0.5898804638282706,liblinear,129
logit,43,0.6013053113851908,0.8005630850234009,0.7964006259780908,0.007729373770076467,0.06503177153096666,Low,0.8529,l1,0.10296743716753952,saga,481
logit,44,0.6013053113851908,0.8008750975039002,0.7964006259780908,0.007324485256762428,0.06503177153096666,Low,0.8419,l1,0.08748183310274656,saga,310
logit,45,0.6982725871792765,0.8489411076443059,0.8357589984350546,0.0073011826229149234,0.04582880375192602,Low,0.4152,l1,9.269015291137503,saga,256
logit,46,0.64719196273118,0.7979102476599065,0.7894757433489827,0.0068399392557485575,0.04742792687260091,Low,0.6097,l2,0.013801474640390839,liblinear,396
logit,47,0.6897589891217375,0.848473088923557,0.832942097026604,0.007013354888749338,0.047727702634955516,Low,0.3583,l1,7.760980087472377,liblinear,248
logit,48,0.6791416416714235,0.8481610764430577,0.8329616588419405,0.006566836932746766,0.05127333905683901,Low,0.4,l2,1.520955907947787,saga,330
logit,49,0.6791416416714235,0.8490973576443059,0.8329616588419405,0.006106913571387757,0.05127333905683901,Low,0.3723,l2,1.9247468831515895,saga,371
logit,50,0.6952646253707851,0.8486288514040563,0.8315336463223787,0.007763110517378376,0.04542300698386451,Low,0.293,l1,51.030500866881496,saga,477
logit,51,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.002269204577717087,liblinear,358
logit,52,0.6553563354824685,0.8402008580343214,0.8259780907668232,0.005817153285770041,0.05687391842811823,Low,0.4741,l2,0.3313639712772246,saga,433
logit,53,0.6932890453998184,0.8492533638845554,0.8343505477308295,0.007312439543126145,0.04702050077700371,Low,0.3709,l1,9.700483550047798,saga,345
logit,54,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007053150804651666,0.04542300698386451,Low,0.2963,l2,274.08468851740633,saga,493
logit,55,0.6429859491345731,0.7979090288611544,0.7894561815336464,0.0027988623191644592,0.048823410799691117,Low,0.6165,l2,0.00868518047970312,saga,115
logit,56,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.00673554187985474,liblinear,148
logit,57,0.6811543743611886,0.849721870124805,0.8343505477308295,0.007627422189991265,0.05106539112321363,Low,0.3941,l1,5.146528415815485,saga,156
logit,58,0.6952646253707851,0.8487851014040562,0.8315336463223787,0.007741933408636581,0.04542300698386451,Low,0.2889,l1,67.53786301474385,saga,344
logit,59,0.6888640766212142,0.8489408638845554,0.8315336463223787,0.007033687090639053,0.047556523233721504,Low,0.3044,l2,152.56138373808568,saga,157
logit,60,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.007144429769585627,saga,265
logit,61,0.656405948695101,0.8391080830733231,0.8259780907668232,0.0057964643840268115,0.056524047357240696,Low,0.5053,l2,0.2982960711154346,saga,117
logit,62,0.5890137683812549,0.8004070787831514,0.7908255086071988,0.008583114148468024,0.06727058007531464,Low,0.6813,l1,0.11069270801727304,liblinear,444
logit,63,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007455738967560155,0.04542300698386451,Low,0.2968,l2,764.474665711921,liblinear,196
logit,64,0.6894647150653812,0.8487851014040562,0.8357589984350549,0.006282459746422392,0.04876476112322457,Low,0.4465,l2,6.893978217690728,liblinear,122
logit,65,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007488311057396804,0.04542300698386451,Low,0.2969,l2,167.50627780468307,saga,492
logit,66,0.6356730253641534,0.8180409028861154,0.8077464788732394,0.005471072172867895,0.057357817836362,Low,0.6047,l2,0.02453459998770822,liblinear,270
logit,67,0.49207463979824473,0.6839903471138845,0.681377151799687,0.004018723787545804,0.06310083733381411,Low,0.904,l2,0.0021555101709952516,liblinear,383
logit,68,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l2,0.0010412069139342684,saga,358
logit,69,0.6935498936552142,0.8486288514040561,0.832942097026604,0.006573743142732435,0.046464067790463276,Low,0.3412,l2,42.23170127189455,saga,100
logit,70,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007455738967560155,0.04542300698386451,Low,0.2968,l1,597.2998669542429,liblinear,267
logit,71,0.6648730351924321,0.819445690327613,0.8104655712050078,0.004193870913591318,0.04853084533752522,Low,0.5935,l1,0.27955379965565486,saga,214
logit,72,0.6888640766212142,0.8490971138845553,0.8315336463223787,0.006969602739632905,0.047556523233721504,Low,0.3003,l2,49.74842728153474,saga,458
logit,73,0.6546571477856118,0.8408253705148205,0.827366979655712,0.005499792255796326,0.05756994395670008,Low,0.5024,l2,0.42227069625343183,saga,291
logit,74,0.6787949921752737,0.8330211583463338,0.8189358372456963,0.006471928167206039,0.04671361502347419,Low,0.3927,l2,0.18943362218309767,saga,476
logit,75,0.6952646253707851,0.8483165951638065,0.8315336463223787,0.007171072739038731,0.04542300698386451,Low,0.3007,l2,329.09447515572145,liblinear,247
logit,76,0.6836388661095899,0.8292765210608424,0.817488262910798,0.006792219611474333,0.04461646560040271,Low,0.4525,l1,0.41124523046523626,liblinear,110
logit,77,0.6932890453998184,0.8492533638845554,0.8343505477308295,0.006935575003699292,0.04702050077700371,Low,0.3704,l2,13.755256078907546,saga,237
logit,78,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0024570980721736095,saga,273
logit,79,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007455738967560155,0.04542300698386451,Low,0.2968,l1,135.48790967237514,liblinear,356
logit,80,0.6888640766212142,0.8490971138845553,0.8315336463223787,0.00693459468234172,0.047556523233721504,Low,0.3003,l1,14.463309297748557,saga,366
logit,81,0.46446593358121213,0.6619863982059282,0.661697965571205,0.005634462001437654,0.06574401066333094,Low,0.9898,l2,0.0017293520503211303,liblinear,489
logit,82,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007488311057396804,0.04542300698386451,Low,0.2969,l2,162.5610097494687,saga,386
logit,83,0.5388478298611464,0.7559309184867395,0.7488262910798122,0.006521269431729412,0.06999282040622194,Low,0.7685,l2,0.004886253019239109,saga,408
logit,84,0.6207671424338531,0.8121102281591263,0.8006455399061034,0.0061186014915380164,0.05995946582408343,Low,0.5819,l2,0.014433425514221105,saga,210
logit,85,0.4705798127189184,0.6521550799531981,0.6504303599374022,0.005415471908943633,0.059950182406161255,Low,0.9334,l2,0.001428757221530146,liblinear,497
logit,86,0.6204511024237104,0.817263065522621,0.807648669796557,0.009494264791397481,0.06239918912428222,Low,0.658,l2,0.02431070031695167,saga,375
logit,87,0.6768098154690083,0.8264684087363493,0.8217331768388106,0.006231309048619017,0.048307787123267436,Low,0.777,l2,0.1293728189593688,liblinear,379
logit,88,0.6935498936552142,0.8483163514040563,0.832942097026604,0.005993536076858314,0.046464067790463276,Low,0.3498,l2,63.32550500677956,saga,106
logit,89,0.6808113287326473,0.8414493954758189,0.8301447574334899,0.005512029427784934,0.049777809566947544,Low,0.5149,l1,0.6173337001849696,saga,166
logit,90,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0035793840212502274,saga,213
logit,91,0.6885174647825905,0.8484726014040562,0.832942097026604,0.007294868113341331,0.04814154408133788,Low,0.3626,l2,645.8620492087045,saga,214
logit,92,0.6888640766212142,0.8490968701248051,0.8315336463223787,0.006973879574508105,0.047556523233721504,Low,0.3003,l1,83.5164068930609,saga,154
logit,93,0.6885174647825905,0.849253120124805,0.832942097026604,0.007079734975874539,0.04814154408133788,Low,0.3398,l2,57.918004498182135,saga,429
logit,94,0.6858891739765314,0.8500341263650547,0.8343505477308295,0.007509809952990278,0.04948712458476602,Low,0.3707,l2,4.341983679084877,saga,415
logit,95,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0014302301362777215,liblinear,193
logit,96,0.668077558711848,0.8433222016380656,0.8273278560250391,0.0061391806804544135,0.05308343243773036,Low,0.392,l2,0.5695299699188141,saga,346
logit,97,0.6952646253707851,0.8483165951638065,0.8315336463223787,0.007171072739038731,0.04542300698386451,Low,0.3007,l1,815.5460172448045,liblinear,459
logit,98,0.6850588609146242,0.8461322640405615,0.8329616588419405,0.006308720669889484,0.04930093264243877,Low,0.4465,l1,2.7218075983280805,liblinear,210
logit,99,0.6935498936552142,0.8486283638845554,0.832942097026604,0.006319995489526317,0.046464067790463276,Low,0.3409,l2,24.302200590047313,liblinear,186
logit,100,0.6906902377140627,0.8489413514040562,0.8357589984350549,0.008177926527380981,0.048356253573664035,Low,0.4397,l1,6.649240677826181,saga,382
logit,101,0.5975272813970416,0.7977532663806552,0.789397496087637,0.008425892917695748,0.06395673823019844,Low,0.7063,l1,0.03154448215147154,saga,196
logit,102,0.5283010877197583,0.7250329075663027,0.7207355242566511,0.006972733173208055,0.06414481217896428,Low,0.846,l2,0.005132781787788436,liblinear,484
logit,103,0.6906902377140627,0.849878120124805,0.8357589984350549,0.007584684498625938,0.048356253573664035,Low,0.4083,l2,5.448972623937419,saga,417
logit,104,0.6416651570174567,0.8111749219968798,0.7978090766823162,0.007480140259872936,0.05204797322161982,Low,0.4645,l2,0.011784457278421073,saga,249
logit,105,0.46779881922099076,0.6526230986739469,0.6518388106416275,0.005590424660473277,0.06134666380687892,Low,0.9704,l2,0.0014336335495311455,liblinear,329
logit,106,0.6935498936552142,0.8490971138845553,0.832942097026604,0.00682849372764982,0.046464067790463276,Low,0.3279,l2,53.206855730468476,saga,180
logit,107,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.01154367949937848,saga,291
logit,108,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.003771962315159143,saga,187
logit,109,0.6858891739765314,0.8480045826833074,0.8343505477308295,0.0070458256564741835,0.04948712458476602,Low,0.4329,l1,6.454431163058644,liblinear,158
logit,110,0.6888640766212142,0.849253120124805,0.8315336463223787,0.006727187965952599,0.047556523233721504,Low,0.296,l1,17.52065259546349,liblinear,167
logit,111,0.6642452175893232,0.8044639723088924,0.7978482003129891,0.006814621456681175,0.04453432757455531,Low,0.6695,l2,0.010705070760181113,saga,340
logit,112,0.66880318328355,0.8377042706708269,0.8245500782472615,0.005713878380389187,0.05191563165457048,Low,0.4688,l1,0.5176858269076091,saga,171
logit,113,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0028952846394404343,liblinear,127
logit,114,0.659503967732864,0.8406691205148207,0.8287754303599375,0.0056550577233713826,0.05642382087569117,Low,0.5445,l2,0.353040625093955,saga,349
logit,115,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007455738967560155,0.04542300698386451,Low,0.2968,l1,216.66493179853384,liblinear,135
logit,116,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007455738967560155,0.04542300698386451,Low,0.2968,l1,216.4458320465088,liblinear,338
logit,117,0.6888640766212142,0.8490971138845553,0.8315336463223787,0.007209901173237611,0.047556523233721504,Low,0.3006,l1,21.608176857066788,liblinear,333
logit,118,0.6855999925135581,0.8481605889235571,0.8315727699530516,0.006312654986089741,0.04865759247983117,Low,0.3361,l2,3.4034001249424692,liblinear,182
logit,119,0.6888640766212142,0.8486286076443058,0.8315336463223787,0.007078372189332739,0.047556523233721504,Low,0.3128,l2,67.95018145981787,liblinear,367
logit,120,0.6855999925135581,0.8480045826833074,0.8315727699530516,0.0063173159160122925,0.04865759247983117,Low,0.3405,l2,3.048526986827842,liblinear,240
logit,121,0.6894647150653812,0.8492536076443058,0.8357589984350549,0.007373728968166165,0.04876476112322457,Low,0.432,l2,10.557248740371014,saga,218
logit,122,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.026645338448993264,liblinear,396
logit,123,0.6841458226460313,0.8490973576443059,0.8315532081377152,0.006265269954970356,0.049135795163894616,Low,0.3148,l2,2.4534719851790676,saga,331
logit,124,0.6894288419836155,0.8442587265990641,0.8301447574334899,0.0051203017656547695,0.04690530514995814,Low,0.3924,l2,1.2774213780596126,liblinear,402
logit,125,0.6952646253707851,0.8486286076443058,0.8315336463223787,0.006973476553365424,0.04542300698386451,Low,0.2921,l1,903.0204984101708,saga,315
logit,126,0.6089361819278901,0.8008746099843993,0.79358372456964,0.006713858109158755,0.061549180880583296,Low,0.7318,l1,0.1304652080068606,saga,463
logit,127,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007455738967560155,0.04542300698386451,Low,0.2968,l1,332.2476931452309,liblinear,287
logit,128,0.6334966298060309,0.8174183404836193,0.8076682316118935,0.009520279516165067,0.05805720060195416,Low,0.6304,l2,0.018105898822930875,saga,482
logit,129,0.6442725271144982,0.8135169656786271,0.8035211267605634,0.008779868398717038,0.05308286654868838,Low,0.5902,l2,0.02250094899526942,liblinear,205
logit,130,0.6888640766212142,0.8489408638845555,0.8315336463223787,0.00696413930138892,0.047556523233721504,Low,0.3044,l2,395.7056029438593,saga,154
logit,131,0.5947862639592678,0.8068057722308893,0.7907863849765259,0.004543305237935664,0.06533337367241933,Low,0.4816,l1,0.16400993654408083,saga,304
logit,132,0.656354638182461,0.8244395963338533,0.8132824726134584,0.006557514463406664,0.05230927814366581,Low,0.5408,l2,0.046481352303107355,saga,220
logit,133,0.6813533823262352,0.8459752827613105,0.834370109546166,0.005181245287126159,0.05100557573997694,Low,0.5138,l2,1.0284671017711833,saga,381
logit,134,0.6600074630443484,0.8423859204368174,0.8245500782472615,0.006661966750337241,0.05484753840097103,Low,0.3574,l2,0.4652343467041317,saga,437
logit,135,0.686828237262252,0.8448834828393135,0.8315727699530516,0.005666331170737218,0.04824817756359989,Low,0.4318,l2,1.5688525947853451,liblinear,337
logit,136,0.6982725871792765,0.8489411076443059,0.8357589984350546,0.007400509746832579,0.04582880375192602,Low,0.4153,l1,9.600551493466876,saga,149
logit,137,0.6774979649540869,0.833803139625585,0.8175078247261345,0.006625117031342415,0.04666995325734921,Low,0.3257,l2,0.3012639261133156,liblinear,275
logit,138,0.6991636045400768,0.8274051774570983,0.8202856025039124,0.00583209535807193,0.04037399932127853,Low,0.6127,l2,0.09324872582399374,saga,394
logit,139,0.6823783788904708,0.8489413514040562,0.8301643192488264,0.006254438392872003,0.04926198011945186,Low,0.2851,l2,2.5892930739207793,saga,324
logit,140,0.5975272813970416,0.7975972601404056,0.789397496087637,0.008478008556593692,0.06395673823019844,Low,0.7115,l1,0.03134317785456964,saga,440
logit,141,0.6571309955912832,0.8216292901716068,0.8048708920187793,0.005029677731520348,0.04924663214249867,Low,0.3358,l1,0.32278787063671954,liblinear,463
logit,142,0.6204511024237104,0.8174193155226208,0.807648669796557,0.009453235339606117,0.06239918912428222,Low,0.6529,l2,0.024795612794093567,saga,392
logit,143,0.655265459702435,0.8384847893915758,0.8231416275430361,0.005589244811323161,0.05595872261353372,Low,0.4338,l2,0.4901770270956092,liblinear,460
logit,144,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.01925359668248408,liblinear,235
logit,145,0.6894647150653812,0.849721870124805,0.8357589984350549,0.0075310883970752885,0.04876476112322457,Low,0.417,l2,7.8351814659127506,saga,262
logit,146,0.5000395479742168,0.6882039781591264,0.691216744913928,0.004656761900515891,0.06372573231323708,Low,0.8906,l2,0.0025611255184786147,saga,116
logit,147,0.6727898152009553,0.8461308014820592,0.8301447574334899,0.004501163562853324,0.05245164741084487,Low,0.3857,l2,0.8182105100861599,saga,145
logit,148,0.6983478348198289,0.8305253022620904,0.8203247261345853,0.005385563961799136,0.040658963771585455,Low,0.474,l2,0.13299023835985263,saga,300
logit,149,0.6320814218185833,0.8180433404836194,0.8034233176838811,0.008654859870905732,0.05711396528843259,Low,0.4663,l2,0.026471495736556314,saga,193
